MariaDB [ntua_db_2026]> SELECT 
    ->     h.dept_name 'Department',
    ->     YEAR(h.admission_date) 'Year',
    ->     i.name 'Insurance Carrier', 
    ->     COUNT(h.costing_id) 'Cases covered by carrier this year', 
    ->     SUM(c.base_cost) 'Total base cost',
    ->     SUM(calculate_hospit_cost(h.hosp_id)) 'Total revenue'
    -> FROM 
    ->     hospitalisation h
    ->     INNER JOIN costing c ON h.costing_id = c.costing_id
    ->     INNER JOIN insurance_carrier i ON h.carrier_id = i.carrier_id
    -> GROUP BY h.dept_name, YEAR(h.admission_date), i.name;
+-----------------------------+------+-------------------------------------------------------------------+------------------------------------+-----------------+---------------+
| Department                  | Year | Insurance Carrier                                                 | Cases covered by carrier this year | Total base cost | Total revenue |
+-----------------------------+------+-------------------------------------------------------------------+------------------------------------+-----------------+---------------+
| Anesthesiology              | 2020 | Δρακουλή-Κριάλης                                                  |                                  1 |          787.00 |       5587.70 |
| Anesthesiology              | 2020 | Κετεσίδου-Ψυχάρη                                                  |                                  1 |         7753.00 |    1655265.50 |
| Anesthesiology              | 2020 | Ρίσβας, Λεπίδα και Μασόπουλος                                     |                                  1 |         2428.00 |      14082.40 |
| Anesthesiology              | 2020 | Χατζηχαρίστου Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                               |                                  1 |          358.00 |      81946.20 |
| Anesthesiology              | 2021 | Κετεσίδου-Ψυχάρη                                                  |                                  1 |         1886.00 |       5092.20 |
| Anesthesiology              | 2021 | Ρίσβας, Λεπίδα και Μασόπουλος                                     |                                  1 |         1198.00 |       1198.00 |
| Anesthesiology              | 2021 | Σύψα, Νικολάτου και Πιτερός                                       |                                  1 |         2856.00 |       9996.00 |
| Anesthesiology              | 2021 | Χατζηχαρίστου Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                               |                                  1 |         1383.00 |     247695.30 |
| Anesthesiology              | 2022 | Ανασφάλιστος                                                      |                                  2 |         3427.00 |      16986.10 |
| Anesthesiology              | 2022 | Δρακουλή-Κριάλης                                                  |                                  1 |         1673.00 |     224182.00 |
| Anesthesiology              | 2022 | Κετεσίδου-Ψυχάρη                                                  |                                  1 |         2892.00 |      24871.20 |
