+-----------------------------+------+------------------------------------------------------------------------------------+------------------------------------+-----------------+---------------+
| Department                  | Year | Insurance Carrier                                                                  | Cases covered by carrier this year | Total base cost | Total revenue |
+-----------------------------+------+------------------------------------------------------------------------------------+------------------------------------+-----------------+---------------+
| Anesthesiology              | 2020 | Ανασφάλιστος                                                                       |                                  2 |         4315.00 |     899797.70 |
| Anesthesiology              | 2020 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |        19980.00 |      99900.00 |
| Anesthesiology              | 2020 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         1105.00 |       1105.00 |
| Anesthesiology              | 2020 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  2 |         4647.00 |    1023713.70 |
| Anesthesiology              | 2020 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         1821.00 |     359829.60 |
| Anesthesiology              | 2020 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         1963.00 |     408304.00 |
| Anesthesiology              | 2020 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         3391.00 |     686677.50 |
| Anesthesiology              | 2021 | Ανασφάλιστος                                                                       |                                  1 |         2037.00 |     344864.10 |
| Anesthesiology              | 2021 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         4267.00 |      11094.20 |
| Anesthesiology              | 2022 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         1245.00 |     158239.50 |
| Anesthesiology              | 2022 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |          336.00 |      47140.80 |
| Anesthesiology              | 2022 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         5077.00 |      29446.60 |
| Anesthesiology              | 2023 | Παπαδήμα-Κυριακίδης                                                                |                                  2 |         9165.00 |     922027.10 |
| Anesthesiology              | 2024 | Ανασφάλιστος                                                                       |                                  2 |         6410.00 |      31911.40 |
| Anesthesiology              | 2024 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |          910.00 |      53599.00 |
| Anesthesiology              | 2025 | Ανασφάλιστος                                                                       |                                  1 |         1144.00 |      16359.20 |
| Anesthesiology              | 2025 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         1393.00 |       5850.60 |
| Anesthesiology              | 2025 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |          981.00 |      28350.90 |
| Anesthesiology              | 2025 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |          934.00 |      34651.40 |
| Anesthesiology              | 2026 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |          420.00 |        966.00 |
| Anesthesiology              | 2026 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          755.00 |        755.00 |
| Cardiology                  | 2020 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |          652.00 |       1304.00 |
| Cardiology                  | 2021 | Ανασφάλιστος                                                                       |                                  1 |         1660.00 |       1660.00 |
| Cardiology                  | 2021 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         1218.00 |     216438.60 |
| Cardiology                  | 2021 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          444.00 |       1243.20 |
| Cardiology                  | 2021 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         1144.00 |     221020.80 |
| Cardiology                  | 2021 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          652.00 |     106797.60 |
| Cardiology                  | 2022 | Ανασφάλιστος                                                                       |                                  1 |         1323.00 |     210092.40 |
| Cardiology                  | 2022 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |          231.00 |      35828.10 |
| Cardiology                  | 2022 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         1183.00 |     160769.70 |
| Cardiology                  | 2022 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         1907.00 |     263166.00 |
| Cardiology                  | 2022 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         5777.00 |     890813.40 |
| Cardiology                  | 2023 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         2521.00 |      11596.60 |
| Cardiology                  | 2023 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          946.00 |       5581.40 |
| Cardiology                  | 2023 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         1338.00 |     122427.00 |
| Cardiology                  | 2024 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         1105.00 |      11050.00 |
| Cardiology                  | 2024 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         2140.00 |      15408.00 |
| Cardiology                  | 2024 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         6489.00 |      35689.50 |
| Cardiology                  | 2025 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         1517.00 |      22148.20 |
| Cardiology                  | 2026 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          584.00 |        584.00 |
| Cardiology                  | 2026 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |          946.00 |       5959.80 |
| Casualty                    | 2020 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          290.00 |       1856.00 |
| Casualty                    | 2020 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         1821.00 |     374579.70 |
| Casualty                    | 2021 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         2381.00 |     460485.40 |
| Casualty                    | 2021 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         1082.00 |     183615.40 |
| Casualty                    | 2021 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         9147.00 |      70431.90 |
| Casualty                    | 2022 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  2 |         7564.00 |     965564.00 |
| Casualty                    | 2022 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |          879.00 |       7735.20 |
| Casualty                    | 2022 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         2386.00 |     369114.20 |
| Casualty                    | 2022 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          475.00 |        475.00 |
| Casualty                    | 2023 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  2 |         1938.00 |      71597.10 |
| Casualty                    | 2023 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         2423.00 |      24956.90 |
| Casualty                    | 2023 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          334.00 |      36573.00 |
| Casualty                    | 2024 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         2716.00 |       2716.00 |
| Casualty                    | 2024 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         1144.00 |       9037.60 |
| Casualty                    | 2024 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |        12204.00 |      12204.00 |
| Casualty                    | 2024 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         5077.00 |      40108.30 |
| Casualty                    | 2025 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         9110.00 |     438191.00 |
| Casualty                    | 2025 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         7359.00 |      22077.00 |
| Casualty                    | 2025 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  2 |         4781.00 |     162192.10 |
| Casualty                    | 2026 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         1222.00 |       1222.00 |
| Casualty                    | 2026 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         4177.00 |      25897.40 |
| Casualty                    | 2026 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         7182.00 |      59610.60 |
| Casualty                    | 2026 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          630.00 |       5481.00 |
| Casualty                    | 2026 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  2 |         2740.00 |      18091.90 |
| ENT                         | 2020 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         1175.00 |      11515.00 |
