+------------+---------------------------------+-------------------------+
| act_sub_id | num_of_patients_allergic_to_sub | products_containing_sub |
+------------+---------------------------------+-------------------------+
|       8783 |                               2 |                       2 |
|       3971 |                               2 |                       2 |
|       5060 |                               2 |                       1 |
|       9497 |                               2 |                       2 |
|       1086 |                               1 |                      15 |
|       2016 |                               1 |                      42 |
|       2876 |                               1 |                      12 |
|       4341 |                               1 |                       9 |
|       5155 |                               1 |                       1 |
|       6139 |                               1 |                      11 |
|       6902 |                               1 |                       1 |
|       7847 |                               1 |                       1 |
|       8511 |                               1 |                      12 |
|       9565 |                               1 |                       2 |
|      10625 |                               1 |                       2 |
|      11978 |                               1 |                       1 |
|         40 |                               1 |                     243 |
|       1229 |                               1 |                      16 |
|       2088 |                               1 |                      13 |
|       3104 |                               1 |                      14 |
|       3875 |                               1 |                       9 |
|       4388 |                               1 |                       1 |
|       5232 |                               1 |                       2 |
|       6221 |                               1 |                      15 |
|       6915 |                               1 |                       1 |
|       7946 |                               1 |                       2 |
|       8643 |                               1 |                       4 |
|       9574 |                               1 |                       1 |
|      10645 |                               1 |                       4 |
|         54 |                               1 |                     167 |
|       2110 |                               1 |                       4 |
|       3150 |                               1 |                       1 |
|       3911 |                               1 |                      11 |
|       4480 |                               1 |                       2 |
|       5244 |                               1 |                       1 |
|       6232 |                               1 |                       1 |
|       6978 |                               1 |                       1 |
|       8025 |                               1 |                       3 |
|       9603 |                               1 |                       1 |
|         57 |                               1 |                     145 |
|       1304 |                               1 |                       1 |
|       2114 |                               1 |                       3 |
|       3183 |                               1 |                      11 |
|       3932 |                               1 |                      17 |
|       4488 |                               1 |                      15 |
|       5290 |                               1 |                       1 |
|       6240 |                               1 |                       4 |
|       7104 |                               1 |                       6 |
|       8032 |                               1 |                       1 |
|       8729 |                               1 |                      14 |
|       9659 |                               1 |                       3 |
|      10887 |                               1 |                       3 |
|         70 |                               1 |                      12 |
|       1324 |                               1 |                       8 |
|       2144 |                               1 |                       1 |
|       3243 |                               1 |                       1 |
|       3935 |                               1 |                       2 |
|       4495 |                               1 |                       1 |
|       5354 |                               1 |                      54 |
|       6268 |                               1 |                       1 |
|       7122 |                               1 |                       2 |
|       8072 |                               1 |                      10 |
|       8733 |                               1 |                      62 |
|       9802 |                               1 |                       2 |
|      11001 |                               1 |                       3 |
|        102 |                               1 |                     146 |
|       1476 |                               1 |                       2 |
|       2196 |                               1 |                      22 |
|       3283 |                               1 |                     119 |
|       3955 |                               1 |                       2 |
|       4531 |                               1 |                      70 |
|       5374 |                               1 |                      10 |
|       6294 |                               1 |                       7 |
|       7134 |                               1 |                       6 |
|       8092 |                               1 |                      24 |
|        232 |                               1 |                      13 |
|       1542 |                               1 |                      64 |
|       2242 |                               1 |                       2 |
|       3447 |                               1 |                      48 |
|       4556 |                               1 |                       2 |
|       5382 |                               1 |                       1 |
|       6309 |                               1 |                       5 |
|       8105 |                               1 |                       3 |
|       9008 |                               1 |                       3 |
|       9853 |                               1 |                       2 |
|      11153 |                               1 |                       8 |
|        600 |                               1 |                       1 |
|       1669 |                               1 |                      39 |
|       2312 |                               1 |                       1 |
|       3511 |                               1 |                     127 |
|       4011 |                               1 |                       1 |
|       4678 |                               1 |                       2 |
|       5404 |                               1 |                      11 |
|       6321 |                               1 |                       1 |
|       7332 |                               1 |                       3 |
|       8311 |                               1 |                       1 |
|       9231 |                               1 |                       1 |
|       9894 |                               1 |                       2 |
|      11234 |                               1 |                       1 |
|        683 |                               1 |                     152 |
|       1737 |                               1 |                      12 |
|       2410 |                               1 |                      30 |
|       3529 |                               1 |                       4 |
|       4057 |                               1 |                       1 |
|       4692 |                               1 |                      28 |
|       5509 |                               1 |                       7 |
|       6401 |                               1 |                      25 |
|       7345 |                               1 |                       2 |
