+-------+-----------------------------+-------+---------------------+---------------+
| level | dept_name                   | count | avg_wait_time (min) | hosp_per_cent |
+-------+-----------------------------+-------+---------------------+---------------+
|     1 | N/A                         |    28 |                NULL |       24.3478 |
|     1 | Anesthesiology              |     4 |            193.7500 |        3.4783 |
|     1 | Cardiology                  |     6 |            182.6667 |        5.2174 |
|     1 | Casualty                    |     5 |            164.6000 |        4.3478 |
|     1 | ENT                         |     1 |            138.0000 |        0.8696 |
|     1 | Gastroenterology            |     6 |            163.6667 |        5.2174 |
|     1 | General surgery             |     3 |            142.0000 |        2.6087 |
|     1 | Geriatric                   |     6 |            190.5000 |        5.2174 |
|     1 | Gynaecology                 |     3 |            185.3333 |        2.6087 |
|     1 | Haematology                 |     6 |            102.0000 |        5.2174 |
|     1 | Inpatient Department (IPD)  |     6 |            199.8333 |        5.2174 |
|     1 | Intensive care unit (ICU)   |     8 |            156.3750 |        6.9565 |
|     1 | Neurology                   |     3 |            229.6667 |        2.6087 |
|     1 | Oncology                    |     3 |            159.3333 |        2.6087 |
|     1 | Operating theatre (OT)      |     4 |            166.5000 |        3.4783 |
|     1 | Opthalmology                |     5 |            113.0000 |        4.3478 |
|     1 | Orthopaedic                 |     3 |            192.0000 |        2.6087 |
|     1 | Outpatient Department (OPD) |     1 |             63.0000 |        0.8696 |
|     1 | Pediatrics                  |     5 |            176.8000 |        4.3478 |
|     1 | Psychiatry                  |     4 |            176.7500 |        3.4783 |
|     1 | Urology                     |     5 |             89.2000 |        4.3478 |
|     2 | N/A                         |    32 |                NULL |       27.3504 |
|     2 | Anesthesiology              |     4 |            106.0000 |        3.4188 |
|     2 | Casualty                    |     4 |            149.2500 |        3.4188 |
|     2 | ENT                         |     8 |            141.7500 |        6.8376 |
|     2 | Gastroenterology            |     1 |            163.0000 |        0.8547 |
|     2 | General surgery             |     6 |            180.1667 |        5.1282 |
|     2 | Geriatric                   |     5 |            170.6000 |        4.2735 |
|     2 | Gynaecology                 |     2 |            153.5000 |        1.7094 |
|     2 | Haematology                 |     6 |            149.8333 |        5.1282 |
|     2 | Inpatient Department (IPD)  |     6 |            104.8333 |        5.1282 |
|     2 | Intensive care unit (ICU)   |     3 |            120.6667 |        2.5641 |
|     2 | Neurology                   |     5 |            179.4000 |        4.2735 |
|     2 | Oncology                    |     5 |            243.4000 |        4.2735 |
|     2 | Operating theatre (OT)      |     3 |            197.0000 |        2.5641 |
|     2 | Opthalmology                |     2 |            230.5000 |        1.7094 |
|     2 | Orthopaedic                 |     5 |             59.8000 |        4.2735 |
|     2 | Outpatient Department (OPD) |     6 |            132.8333 |        5.1282 |
|     2 | Pediatrics                  |     6 |            185.6667 |        5.1282 |
|     2 | Psychiatry                  |     5 |            172.8000 |        4.2735 |
|     2 | Urology                     |     3 |            188.0000 |        2.5641 |
|     3 | N/A                         |    31 |                NULL |       26.0504 |
|     3 | Anesthesiology              |     6 |            181.3333 |        5.0420 |
|     3 | Cardiology                  |     5 |            200.0000 |        4.2017 |
|     3 | Casualty                    |    11 |            140.2727 |        9.2437 |
|     3 | ENT                         |     4 |            183.5000 |        3.3613 |
|     3 | Gastroenterology            |     2 |            151.5000 |        1.6807 |
|     3 | General surgery             |     5 |             89.8000 |        4.2017 |
|     3 | Geriatric                   |     7 |            152.5714 |        5.8824 |
|     3 | Gynaecology                 |     4 |             98.0000 |        3.3613 |
|     3 | Haematology                 |     4 |             83.5000 |        3.3613 |
|     3 | Inpatient Department (IPD)  |     2 |            119.5000 |        1.6807 |
|     3 | Intensive care unit (ICU)   |     3 |            200.3333 |        2.5210 |
|     3 | Neurology                   |     4 |            165.5000 |        3.3613 |
|     3 | Oncology                    |     7 |            169.7143 |        5.8824 |
|     3 | Operating theatre (OT)      |     4 |            236.5000 |        3.3613 |
|     3 | Opthalmology                |     5 |            135.0000 |        4.2017 |
|     3 | Orthopaedic                 |     3 |            170.0000 |        2.5210 |
|     3 | Outpatient Department (OPD) |     1 |             17.0000 |        0.8403 |
|     3 | Psychiatry                  |     5 |            132.8000 |        4.2017 |
|     3 | Urology                     |     6 |            186.0000 |        5.0420 |
|     4 | N/A                         |    30 |                NULL |       25.6410 |
|     4 | Anesthesiology              |     3 |            167.0000 |        2.5641 |
|     4 | Cardiology                  |     6 |            134.6667 |        5.1282 |
|     4 | Casualty                    |     4 |            154.7500 |        3.4188 |
|     4 | ENT                         |     3 |            160.6667 |        2.5641 |
|     4 | Gastroenterology            |     2 |            133.5000 |        1.7094 |
|     4 | General surgery             |     2 |             54.0000 |        1.7094 |
|     4 | Geriatric                   |     4 |            119.2500 |        3.4188 |
|     4 | Gynaecology                 |     3 |            193.6667 |        2.5641 |
|     4 | Haematology                 |     4 |            130.2500 |        3.4188 |
|     4 | Inpatient Department (IPD)  |     5 |            169.2000 |        4.2735 |
